snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
Partial Migration,,java,SPRKCNTSCL0099,Warning,"The file '{element}' was not fully processed by the LLM migration agent — a deterministic fallback transformation was applied. Manual review required.",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl0099
RDD,JavaRDD|JavaPairRDD|javaRDD|toJavaRDD,java,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Unsupported Module,org.apache.spark.ml|spark.ml,java,SPRKCNTSCL2500,ConversionError,"The element '{element}' of the library ML is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2500
Unsupported Module,org.apache.spark.streaming|spark.streaming|DStream|StreamingContext,java,SPRKCNTSCL2000,ConversionError,"The element '{element}' of the library Streaming is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2000
Unsupported Module,org.apache.spark.mllib|spark.mllib,java,SPRKCNTSCL3000,ConversionError,"The element '{element}' of the library MLLIB is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3000
Unsupported Module,org.apache.spark.graphx|graphx,java,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SparkSession,SparkSession|getOrCreate|builder,java,SPRKCNTSCL3500,ConversionError,"The element '{element}' of the library Spark Session is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3500
SparkContext,JavaSparkContext|JavaRDD,java,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Unsupported Format,"\.format\(""delta|\.format\(""avro|\.format\(""orc|\.format\(""binary|\.format\(""jdbc|\.jdbc\s*\(",java,SPRKCNTSCL1000,ConversionError,"The element '{element}' uses an unsupported file format (delta/avro/orc/binary/jdbc) — not available in Snowpark Connect; migrate data to Snowflake-native formats",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Wildcard File Read,wildcard|glob|\*\.json|\*\.csv|\*\.parquet,java,SPRKCNTSCL1000,ConversionError,"Wildcard/glob pattern in file read path is not supported for Snowpark Connect — replace with explicit file list",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Save Mode,"SaveMode\.Ignore|\.mode\(""ignore""\)",java,SPRKCNTSCL1000,ConversionError,"The element '{element}' uses 'ignore' write mode which is not supported for CSV/JSON/text writes in Snowpark Connect — use overwrite or append instead",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Option,\.option\(,java,SPRKCNTSCL1000,Warning,"The element '{element}' is a DataFrameWriter/Reader option not supported in Snowpark Connect — verify behavior and remove or replace",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op API,hint\(|repartition\(|coalesce\(,java,SPRKCNTSCL1000,Warning,"The element '{element}' is a no-op API call (hint/repartition/coalesce) in Snowpark Connect — remove or replace with a supported equivalent",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op Config,\.config\(|SparkConf,java,SPRKCNTSCL1000,Warning,"The element '{element}' is a SparkConf/config call that has no effect in Snowpark Connect — remove or replace with Snowflake session configuration",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
UDF Serialization,implements UDF|new UDF|register\(,java,SPRKCNTSCL1000,Warning,"The element '{element}' registers or implements a UDF/UDTF — UDF compatibility mode may be required in Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Performance Optimization,,java,SPRKCNTSCL1000,Information,"The element '{element}' is a performance optimization opportunity for Snowpark Connect — review and apply the suggested improvement",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Recommended Improvement,,java,SPRKCNTSCL1000,Information,"The element '{element}' can be improved for better Snowpark Connect compatibility — apply the SCOS recommended change",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Generic,,java,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS TODO,SCOS: TODO,java,SPRKCNTSCL1000,ConversionError,"The element '{element}' was flagged by SCOS as requiring manual action — review and resolve before migration is complete",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS Performance,SCOS: Performance tip,java,SPRKCNTSCL1000,Information,"The code at '{element}' was annotated by SCOS as a performance optimization opportunity — review the Performance tip comment and apply the suggested change",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS Fix,SCOS: \[,java,SPRKCNTSCL1000,Warning,"The element '{element}' was automatically rewritten by SCOS with an unsupported API marker — verify the generated transformation is correct",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
