snowpark_connect_category,keyword_pattern,language,ewi_code,sma_category,description_template,doc_url
Partial Migration,,scala,SPRKCNTSCL0099,Warning,"The file '{element}' was not fully processed by the LLM migration agent — a deterministic fallback transformation was applied. Manual review required.",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl0099
RDD,,scala,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Unsupported Module,org.apache.spark.ml|spark.ml,scala,SPRKCNTSCL2500,ConversionError,"The element '{element}' of the library ML is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2500
Unsupported Module,org.apache.spark.streaming|spark.streaming|DStream|StreamingContext,scala,SPRKCNTSCL2000,ConversionError,"The element '{element}' of the library Streaming is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl2000
Unsupported Module,org.apache.spark.mllib|spark.mllib,scala,SPRKCNTSCL3000,ConversionError,"The element '{element}' of the library MLLIB is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3000
Unsupported Module,org.apache.spark.graphx|graphx,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SparkSession,SparkSession|getOrCreate|builder,scala,SPRKCNTSCL3500,ConversionError,"The element '{element}' of the library Spark Session is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3500
SparkContext,SparkContext,scala,SPRKCNTSCL1500,ConversionError,"The element '{element}' of the library RDD is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1500
Hadoop FS / Cloud Path / Stage,,scala,SPRKCNTSCL3200,ConversionError,"The element '{element}' — Hadoop FS / cloud path / credential (use a Snowflake stage or storage integration)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl3200
JDBC,,scala,SPRKCNTSCL6000,ConversionError,"The element '{element}' — JDBC source / sink (no JVM driver in Spark Connect; use the Snowflake connector or an external table)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl6000
Unsupported Format,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Wildcard File Read,wildcard|glob|*.json|*.csv|*.parquet,scala,SPRKCNTSCL1000,ConversionError,"Wildcard/glob pattern in file read path is not supported for Snowpark Connect — replace with explicit file list",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Save Mode,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Unsupported Option,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op API,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
No-Op Config,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
UDF Serialization,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Performance Optimization,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Recommended Improvement,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
Generic,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS TODO,,scala,SPRKCNTSCL1000,ConversionError,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS Performance,,scala,SPRKCNTSCL1000,Information,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
SCOS Fix,,scala,SPRKCNTSCL1000,Warning,"The element '{element}' is not supported for Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala#sprkcntscl1000
TaxonomyMeta,,scala,SPRKCNTSCL5000,Warning,"The element '{element}' — Division by zero / numeric semantics difference (Spark returns NULL; Snowflake throws an error)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5001,Warning,"The element '{element}' — Cast failure semantics difference (Spark returns NULL silently; Snowflake throws a runtime error)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5002,Warning,"The element '{element}' — datediff parameter order differs (Spark: datediff(end,start); Snowflake: datediff(unit,start,end))",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5003,Warning,"The element '{element}' — union() is position-based; mismatched column orders cause silent data misalignment",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5004,Warning,"The element '{element}' — element_at indexing difference (1-indexed in Spark; may be 0-indexed in Spark Connect)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5005,Warning,"The element '{element}' — concat_ws null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5006,Warning,"The element '{element}' — NULL ordering reversed (Spark ASC=nulls last; Snowflake ASC=nulls first)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5007,Warning,"The element '{element}' — NaN not supported in Snowflake; isnan() values become NULL",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5008,Warning,"The element '{element}' — regexp_replace regex dialect difference (Java regex in Spark; POSIX extended in Snowflake)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5009,Warning,"The element '{element}' — greatest/least null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5010,Warning,"The element '{element}' — concat null handling difference (Spark skips nulls; Snowflake returns NULL if any arg is null)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5011,Warning,"The element '{element}' — regexp_extract no-match return differs (Spark returns empty string; Snowflake returns NULL)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5012,Warning,"The element '{element}' — first()/last() non-deterministic in Snowflake without explicit ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5013,Warning,"The element '{element}' — round() rounding mode difference (Spark: half-up; Snowflake: half-even / banker's)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5014,Warning,"The element '{element}' — explode null/empty array handling differs; use FLATTEN(OUTER=>TRUE) in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5015,Warning,"The element '{element}' — String comparison case-sensitivity difference (Spark binary; Snowflake collation-dependent)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5016,Warning,"The element '{element}' — months_between return type differs (Spark: fractional Double; Snowflake: whole-month Integer)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5017,Warning,"The element '{element}' — null-safe equality (<=> / eqNullSafe) not directly supported in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5018,Warning,"The element '{element}' — aggregation result column auto-naming differs between Spark and Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5019,Warning,"The element '{element}' — split() delimiter treatment differs (Spark: Java regex; Snowflake: literal string)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5020,Warning,"The element '{element}' — Integer division semantics differ (Spark: truncated int; Snowflake: DECIMAL)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5021,Warning,"The element '{element}' — Boolean string-casting more permissive in Snowflake (also accepts 'yes'/'no'/'on'/'off')",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5022,Warning,"The element '{element}' — substring(col, 0) returns 1-based result in Spark but empty string in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5023,Warning,"The element '{element}' — groupBy result ordering is non-deterministic in Snowflake; add explicit ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5024,Warning,"The element '{element}' — Timestamp precision differs (Spark: microsecond; Snowflake: nanosecond)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5025,Warning,"The element '{element}' — approx_count_distinct RSD precision not configurable in Snowflake",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5026,Warning,"The element '{element}' — date_format() token differences (Spark: Java tokens yyyy/HH; Snowflake: different format tokens)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5027,Warning,"The element '{element}' — collect_list/collect_set ordering non-deterministic in Snowflake; add ORDER BY",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
TaxonomyMeta,,scala,SPRKCNTSCL5028,Warning,"The element '{element}' — Distribution hints (broadcast/repartition/coalesce) may be silently ignored in Snowpark Connect",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue Entry Point,GlueContext|Job.init|Job.commit|com.amazonaws.services.glue.GlueContext|com.amazonaws.services.glue.util.Job,scala,SPRKCNTSCL3600,ConversionError,"The AWS Glue entry point '{element}' (GlueContext / Job) was replaced with a Snowpark Connect session; Job/bookmark lifecycle calls have no equivalent and were removed",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue Job Arguments,GlueArgParser|getResolvedOptions|com.amazonaws.services.glue.util.GlueArgParser,scala,SPRKCNTSCL3601,Warning,"The AWS Glue argument accessor '{element}' was replaced with command-line argument parsing",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue Catalog Read,getCatalogSource|getDynamicFrame|from_catalog,scala,SPRKCNTSCL3602,ConversionError,"The AWS Glue Data Catalog read '{element}' was repointed to a native Snowflake table read; Glue exposes LOWERCASE column names while Snowflake returns UPPERCASE — normalize identifiers to avoid silently dropping columns",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue ApplyMapping,ApplyMapping|com.amazonaws.services.glue.transforms.ApplyMapping,scala,SPRKCNTSCL3603,ConversionError,"The AWS Glue transform '{element}' was converted to an explicit select/cast/alias projection (ApplyMapping projects ONLY mapped columns and nulls failed casts)",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue Filter,Filter.apply|com.amazonaws.services.glue.transforms.Filter,scala,SPRKCNTSCL3604,ConversionError,"The AWS Glue row-wise predicate '{element}' must be rewritten as a null-safe Column expression — Glue evaluates Scala Option semantics per DynamicRecord while Spark uses SQL three-valued logic, so a naive port silently drops null rows",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
AWS Glue DynamicFrame,DynamicFrame|DynamicFrameCollection|ResolveChoice|DropFields|SelectFields|RenameField|com.amazonaws.services.glue.DynamicFrame,scala,SPRKCNTSCL3605,Warning,"The AWS Glue DynamicFrame construct '{element}' was converted to the equivalent native DataFrame operation",https://docs.snowflake.com/en/migrations/sma-docs/issue-analysis/issue-codes-by-source/spark-scala/snowpark-connect-codes-scala
